"hotel","price","score","avg review"
"Hotel Ama-La,Thamel,Kathmandu","NPR 3,506","8.8","Excellent"
"Aloft Kathmandu Thamel","NPR 14,776","8.8","Excellent"
"Grand Yak Boutique Hotel","NPR 2,176","8.5","Excellent"
"Rodeos Inn","NPR 2,297","7.1","Good"
"Hotel Anya","NPR 1,800","7.4","Good"
"Kathmandu Aagantuk Hotel","NPR 3,325","7.5","Good"
"Hotel Mega & Apartment","NPR 2,672"."8.3","Very Good"
"Hotel Chhimeki",'NPR 2,098","8.3","Very Good"
"Hotel Odyssey Nepal","NPR 2,437","8.3","Very Good"
"Kathmandu Regency Hotel","NPR 1,937","8.8","Excellent"
"OYO 798 Euphoria Inn","NPR 2,544","7.4","Good"
"Bodhi Peace Homestay","NPR 1,200","8.1","Very Good"
"Bed and Breakfast Thamel","NPR 2,481","7.3","Good"
"Hotel Palazzo","NPR 2,297","7.9","Good"
"Kathmandu Boutique Hotel","NPR 2,394","7.4","Good"
"Nepalaya Hotel","NPR 2,418","8.1","Very Good"
"Hotel Liv Inn","NPR 1,612","7.1","Good"
"Drishya Hotel","NPR 3,535","7.7","Good"
"Hotel Kesu Home","NPR 3,046","8.5","Very Good"
"Daali Hotel & Apartment","NPR 6,312","8.1","Very Good"
"Hotel Pristine","NPR 2,042","8.2","Very Good"
